SPLITWORD;;
Pumpkin;A large, round orange fruit;Food
Rainbow;Has 7 colours;Nature
Seahorse;A sea animal with a long curly tail;Animal
Smoothie;A thick icy drink made from the blender;Food
Spaghetti;A form of pasta made in long, thin strings ;Food
Sponge;A tiny sea animal that has holes in its body;Animal
Sprint;To run very quickly;Action
Studio;A place to record music;Place
Surgeon;Someone who does surgery;Person
Teacher;Someone who educates you in school;Person
Village;A place where people live;Place
Volcano;A mountain made from melted rocks;Nature
Waterfall;Natural flow of water down the cliff;Nature
Yacht;A small ship used for cruising;Thing
SPLITWORD;;
Archaeologist;Someone who studies past human life;Person
Astronaut ;A person trained to go to space;Person
Athlete;Someone who plays a sport;Person
Atmosphere;The air of a particular space;Thing
Calculator;A machine that helps in computing numbers;Thing
Carpenter;A person who builds and repairs  things made of wood;Person
Communication;An act to interact with others;Action
Cornflakes;A type of breakfast cereal;Food
Crocodile;A thick-skinned animal that lives in water;Animal
Definition;The meaning of a word;Thing
Digestion;This is what you tummy does after you eat;Thing
Dolphin;A type of mammal that live in the water;Animal
Earthquake;A shaking movement of the Earth's surface;Nature
Ecosystem;Made up of living and non-living things;Nature
Electricity;It powers most appliances around us;Thing
Excercise;Activity done to keep your body fit;Thing
Expensive;To cost a lot of money;Thing
Firefighter;Someone who fights fire;Person
Government;A group of people in charge of running the country ;Person
Happiness;The feeling of positivity and gladness;Thing
Hippopotamus;A large animal with short legs and live near rivers;Animal
Instrument;An object where you can play music with ;Thing
Inventor;A person that invents new creations;Person
Kangaroo;A mammal with powerful back legs;Animal
Kitchen;A place where people cook;Place
Literature;The study of writings and stories;Thing
Magazine;A printed collection of pictures and articles;Thing
Mathematics;The study of numbers;Thing
Mayonnaise;A thick creamy dressing ;Food
Museum ;A place that stores art, science or history;Place
Ornament;Pretty decorations put up on a Christmas tree;Thing
Pancake;A flat cake made of thin batter;Food
Photographer;Someone who takes pictures;Person
Platypus;A type of mammal that lays eggs;Animal
President;A person elected to lead a country;Person
Principal;The person who is head of the school;Person
Receipt;A piece of paper that shows the amount of money you paid;Thing
Restaurant;A place to dine ;Place
Rhinoceros;An animal that has 2 horns on their nose;Animal
Saxophone;A brass instrument with a curved metal body;Thing
Scarecrow;A figure made from straw to scare birds away;Thing
Scientist;A person who studies or practices science;Person
Seamstress;A person whose occupation is sewing;Person
Shakespeare;A famous English playwright and poet;Person
Sportsmanship;The good qualities of an athlete;Thing
Telephone;A device used to talk to others over a long distance;Thing
Temperature;The degree of hot and cold of the environment;Thing
Tortilla;A round flatbread made of corn, usually eaten with filling;Food
Vanish;To disappear into thin air;Action
Veterinarian;A doctor who treats sick animals;Person
Watermelon;A fruit that is green on the outside but red inside;Food
